"","postcode_clean","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","X","Y","fid","postcode","positional","country_co","nhs_region","nhs_ha_cod","admin_coun","admin_dist","admin_ward"
"1","AB24","Respondent 40","I give consent to take part in this study",21,"Female","Yes","AB24","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","2","2","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Weekly","Monthly","Weekly","Yes","Neutral","Agree","Agree","Agree","Neutral","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping,Rock pooling","calm","n/a","dolphines","?","I would if I had the space","m","2025-04-05 22:02:10 UTC","2025-04-05 22:09:01 UTC",394767,808412,13508,"AB24 1AW",10,"S92000003","","S08000020","","S12000033","S13002840"
"2","BD2","Respondent 231","I give consent to take part in this study",68,"Male","Yes","bd2","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2","2",NA,"Weekly","Monthly","Monthly","Every 6 months","Every 6 months","Yes","Strongly agree","Strongly agree","Agree","Partially agree","Strongly agree","Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography","the river aire","the acre farm","kingfishers  foxes  badgers otters and more","anything","I would if I had the space","cannot improve on nature","2025-05-22 16:50:00 UTC","2025-05-22 16:53:53 UTC",416071,434843,67145,"BD2 1AA",10,"E92000001","E19000001","E18000003","","E08000032","E05001344"
"3","BD6","Respondent 215","I give consent to take part in this study",44,"Male","Yes","BD6","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","2","1. completely Agree","1. completely Agree","3","4",NA,"Monthly","Weekly","Monthly","Every 6 months","Monthly","Yes","Agree","Strongly agree","Agree","Strongly agree","Partially agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Rock pooling","Close, accessible, dilapidated","Not respected, at risk, not maintained","Many animals, insects, fish, marine mammals, crustacean's, birds etc, but also many trees, plants etc, I appreciate a lot of wildlife.","It is a real problem of declining populations due to pollution, destruction of habitats, and exploitation.","Maybe, I would consider providing a blue space with more information or assistance","Educate people on the importance, stop pollution, exploitation and destruction of the habitats","2025-05-22 12:23:10 UTC","2025-05-22 12:43:12 UTC",416224,430002,88003,"BD6 1AA",10,"E92000001","E19000001","E18000003","","E08000032","E05001370"
"4","BS1","Respondent 167","I give consent to take part in this study",45,"Female","Yes","BS1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Monthly","Every 6 months","Every 6 months","Every 6 months","Weekly","Yes","Strongly agree","Strongly agree","Agree","Agree","Agree","Nature watching,Exercise (e.g., walking, kayaking, swimming)","bristol harbourside: very urban, lined with restaurants, but various gulls and ducks, and people sitting by the side on a sunny side. Its a focal point for relaxation.","I live inland and none are wild.","dragonflies","dragonflies","I would if I had the space","prevent pollution from nutrient run-off. Too many suffer from eutrophication.","2025-04-28 07:35:22 UTC","2025-04-28 07:44:00 UTC",360205,173432,161580,"BS1 1AD",10,"E92000001","E19000002","E18000010","","E06000023","E05010907"
"5","CH6","Respondent 166","I give consent to take part in this study",34,"Female","Yes","CH6","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","2","2","2","2","4",NA,"Every 6 months","Once a year","Every 6 months","Every 6 months","Once a year","Yes","Agree","Strongly agree","Neutral","Agree","Strongly agree","Nature watching","Small local pond with water fowl","Large river estuary","Ducks, geese, coots","Fish","I would if I had the space","Better maintenance and respect","2025-04-23 05:43:52 UTC","2025-04-23 05:48:27 UTC",324016,372730,278054,"CH6 5AB",10,"W92000004","","W11000023","","W06000005","W05001588"
"6","DD5","Respondent 84","I give consent to take part in this study",70,"Female","Yes","DD5","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2","1. completely Agree",NA,"Weekly","Monthly","Weekly","Monthly","Monthly","Yes","Partially agree","Agree","Partially agree","Agree","Neutral","Nature watching,Dog walking,Photography","River Tay","River Tay","Swans Dolphins Foxes Gulls Sparrowhawk","Hedgehogs Badgers","Maybe, I would consider providing a blue space with more information or assistance","Regular monitoring g of water quality. More information boards. More recycling facilities.","2025-04-15 11:42:49 UTC","2025-04-15 11:49:36 UTC",346005,731186,370513,"DD5 1AB",10,"S92000003","","S08000030","","S12000042","S13002552"
"7","DD8","Respondent 130","I give consent to take part in this study",62,"Female","Yes","DD8","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1. completely Agree","2","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Weekly","Monthly","Every 6 months","Yes","Strongly agree","Strongly agree","Partially agree","Agree","Strongly agree","Dog walking,Photography","Tranquil, peaceful, evolving","Powerful, rejuvenating, enrichingricjing","Birds, insects, dogs","Dolphins, otters, fish","I already do","Improved access routes for walking rather than driving","2025-04-17 11:42:53 UTC","2025-04-17 11:51:57 UTC",345474,750569,372228,"DD8 0BJ",10,"S92000003","","S08000030","","S12000041","S13002869"
"8","DD8","Respondent 81","I give consent to take part in this study",60,"Female","Yes","DD8","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Weekly","Every 6 months","Every 6 months","Yes","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Nature watching,Dog walking","Idyllic","Tranquil peaceful idyllic","Birds bees and butterflies","Birds","I already do","Not sure","2025-04-15 11:29:59 UTC","2025-04-15 11:33:18 UTC",345474,750569,372228,"DD8 0BJ",10,"S92000003","","S08000030","","S12000041","S13002869"
"9","DL10","Respondent 213","I give consent to take part in this study",53,"Male","Yes","DL10","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Monthly","Never","Monthly","Once a year","Once a year","Yes","Agree","Agree","Partially agree","Agree","Agree","Nature watching,Dog walking,Fishing","River Swale","Swale at Easby","Kingfishers, seals, dolphins, seabirds","Seabirds","Maybe, I would consider providing a blue space with more information or assistance","Accessibility, cleanness of the environment and improved water quality","2025-05-22 11:37:47 UTC","2025-05-22 11:42:57 UTC",417256,501302,375280,"DL10 4AA",10,"E92000001","E19000001","E18000003","","E06000065","E05014307"
"10","DL2","Respondent 302","I give consent to take part in this study",65,"Male","Yes","DL2","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Every 6 months","Every 6 months","Every 6 months","Yes","Strongly agree","Strongly agree","Partially agree","Agree","Agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping","Wildlife teeming river","Calming beautiful river","Otters, ducks, herons, swans, rats, seabirds, egrets, moorhens, fish, frogs","Otters, beavers, kingfishers","I would if I had the space","Clean them, especially get rid of litter.  Educate people about litter - people have become very irresponsible and leave a lot.  Have clearly marked paths that are easy to use.","2025-06-03 09:16:59 UTC","2025-06-03 09:30:01 UTC",434595,513140,390269,"DL2 1AA",10,"E92000001","E19000001","E18000001","","E06000005","E05010429"
